省份,城市,年份,价格,趋势,,,,,,
广东,台山,2020,5906,0.35%↑,,,,,,
广东,台山,2021,5909,--,,,,,,
广东,台山,2022,5909,--,,,,,,
广东,台山,2023,5564,1.69%↓,,,,,,
广东,台山,2024,5557,--,,,,,,
广东,阳春,2018,5390,1.44%↓,,,,,,
广东,阳春,2019,5150,--,,,,,,
广东,阳春,2020,5150,0.25%↓,,,,,,
广东,阳春,2021,5150,--,,,,,,
广东,阳春,2022,5111,--,,,,,,
广东,阳春,2023,4713,0.19%↓,,,,,,
广东,阳春,2024,4678,0.74%↓,,,,,,
广东,阳江,2015,4177,2%↑,,,,,,
广东,阳江,2016,4078,0.24%↓,,,,,,
广东,阳江,2017,5410,0.01%↑,,,,,,
广东,阳江,2018,5870,0.8%↓,,,,,,
广东,阳江,2019,6246,1%↓,,,,,,
广东,阳江,2020,5836,2.51%↓,,,,,,
广东,阳江,2021,5831,0.7%↓,,,,,,
广东,阳江,2022,5800,0.89%↑,,,,,,
广东,阳江,2023,5528,0.79%↓,,,,,,
广东,阳江,2024,5545,0.25%↑,,,,,,
广东,云浮,2018,6043,--,,,,,,
广东,云浮,2019,6293,0.02%↑,,,,,,
广东,云浮,2020,6140,0.08%↓,,,,,,
广东,云浮,2021,6172,0.21%↑,,,,,,
广东,云浮,2022,6066,0.42%↓,,,,,,
广东,云浮,2023,5600,0.78%↓,,,,,,
广东,云浮,2024,5521,1.39%↓,,,,,,
广东,湛江,2015,5627,5%↑,,,,,,
广东,湛江,2016,6404,0.17%↑,,,,,,
广东,湛江,2017,6940,0.04%↑,,,,,,
广东,湛江,2018,6770,0.47%↓,,,,,,
广东,湛江,2019,7763,1.11%↑,,,,,,
广东,湛江,2020,8223,0.85%↑,,,,,,
广东,湛江,2021,9300,1.23%↑,,,,,,
广东,湛江,2022,8784,4.01%↑,,,,,,
广东,湛江,2023,8101,0.35%↓,,,,,,
广东,湛江,2024,8277,1.28%↑,,,,,,
广东,肇庆,2015,5537,2%↑,,,,,,
广东,肇庆,2016,5477,7.09%↓,,,,,,
广东,肇庆,2017,6964,0.07%↑,,,,,,
广东,肇庆,2018,7265,1.48%↓,,,,,,
广东,肇庆,2019,7263,1.56%↓,,,,,,
广东,肇庆,2020,6959,0.29%↑,,,,,,
广东,肇庆,2021,6710,1.36%↑,,,,,,
广东,肇庆,2022,6539,1%↓,,,,,,
广东,肇庆,2023,6476,0.74%↓,,,,,,
广东,肇庆,2024,6358,0.1%↓,,,,,,
广东,中山,2015,5925,2%↑,,,,,,
广东,中山,2016,8148,5.25%↑,,,,,,
广东,中山,2017,11266,0.04%↑,,,,,,
广东,中山,2018,11747,2.25%↓,,,,,,
广东,中山,2019,11202,0.62%↑,,,,,,
广东,中山,2020,11007,0.19%↑,,,,,,
广东,中山,2021,11395,0.88%↓,,,,,,
广东,中山,2022,10677,0.91%↑,,,,,,
广东,中山,2023,9550,2.01%↓,,,,,,
广东,中山,2024,9422,0.19%↓,,,,,,
广东,珠海,2015,14980,3%↑,,,,,,
广东,珠海,2016,19070,1.06%↑,,,,,,
广东,珠海,2017,19531,0.02%↑,,,,,,
广东,珠海,2018,20778,0.15%↓,,,,,,
广东,珠海,2019,21134,0.14%↑,,,,,,
广东,珠海,2020,21037,0.35%↓,,,,,,
广东,珠海,2021,23626,0.09%↓,,,,,,
广东,珠海,2022,22185,2.68%↓,,,,,,
广东,珠海,2023,21175,0.51%↓,,,,,,
广东,珠海,2024,21138,0.08%↑,,,,,,
广西,百色,2018,5091,--,,,,,,
广西,百色,2019,5081,0.02%↑,,,,,,
广西,百色,2020,4985,2.37%↓,,,,,,
广西,百色,2021,5012,0.02%↓,,,,,,
广西,百色,2022,4998,0.46%↓,,,,,,
广西,百色,2023,4921,0.91%↑,,,,,,
广西,百色,2024,4952,2.66%↑,,,,,,
广西,北海,2015,4627,2%↑,,,,,,
广西,北海,2016,4479,0.95%↑,,,,,,
广西,北海,2017,5662,0.04%↑,,,,,,
广西,北海,2018,6743,0.82%↓,,,,,,
广西,北海,2019,6743,1.28%↓,,,,,,
广西,北海,2020,6187,1.13%↓,,,,,,
广西,北海,2021,6069,0.2%↓,,,,,,
广西,北海,2022,5996,0.23%↓,,,,,,
广西,北海,2023,5551,0.94%↓,,,,,,
广西,北海,2024,5692,2.27%↑,,,,,,
广西,崇左,2018,5539,--,,,,,,
广西,崇左,2019,5081,--,,,,,,
广西,崇左,2020,5044,0.33%↓,,,,,,
广西,崇左,2021,4996,0.07%↓,,,,,,
广西,崇左,2022,4999,1.6%↑,,,,,,
广西,崇左,2023,4597,1.59%↑,,,,,,
广西,崇左,2024,4267,4.34%↓,,,,,,
广西,防城港,2016,3793,4.07%↓,,,,,,
广西,防城港,2017,4427,0.07%↑,,,,,,
广西,防城港,2018,6433,0.92%↓,,,,,,
广西,防城港,2019,5611,0.39%↑,,,,,,
广西,防城港,2020,5359,1.51%↓,,,,,,
广西,防城港,2021,5251,0.77%↑,,,,,,
广西,防城港,2022,5056,0.72%↓,,,,,,
广西,防城港,2023,4334,0.74%↓,,,,,,
广西,防城港,2024,4398,1.01%↑,,,,,,
广西,贵港,2015,4007,2%↓,,,,,,
广西,贵港,2016,4165,0.74%↑,,,,,,
广西,贵港,2017,5049,0.11%↑,,,,,,
广西,贵港,2018,6542,1.06%↓,,,,,,
广西,贵港,2019,6388,1.36%↓,,,,,,
广西,贵港,2020,5927,0.76%↓,,,,,,
广西,贵港,2021,5233,1.85%↓,,,,,,
广西,贵港,2022,5124,1.29%↓,,,,,,
广西,贵港,2023,5092,1.46%↓,,,,,,
广西,贵港,2024,5218,2.43%↑,,,,,,
广西,桂林,2015,5710,11%↓,,,,,,
广西,桂林,2016,6022,0.4%↑,,,,,,
广西,桂林,2017,6182,--,,,,,,
广西,桂林,2018,6503,0.69%↓,,,,,,
广西,桂林,2019,6629,0.66%↓,,,,,,
广西,桂林,2020,6732,2.13%↑,,,,,,
广西,桂林,2021,6041,1.06%↓,,,,,,
广西,桂林,2022,5742,3.07%↓,,,,,,
广西,桂林,2023,6023,0.87%↓,,,,,,
广西,桂林,2024,5986,0.32%↑,,,,,,
广西,河池,2018,5215,--,,,,,,
广西,河池,2019,4612,0.08%↑,,,,,,
广西,河池,2020,4879,2.74%↑,,,,,,
广西,河池,2021,4858,0.88%↓,,,,,,
广西,河池,2022,4681,0.44%↓,,,,,,
广西,河池,2023,4576,0.02%↓,,,,,,
广西,河池,2024,4621,0.98%↑,,,,,,
广西,贺州,2018,5306,1.52%↓,,,,,,
广西,贺州,2019,6250,--,,,,,,
广西,贺州,2020,6144,1.44%↓,,,,,,
广西,贺州,2021,5950,0.38%↑,,,,,,
广西,贺州,2022,5896,0.02%↓,,,,,,
广西,贺州,2023,4969,2.01%↓,,,,,,
广西,贺州,2024,5105,0.85%↑,,,,,,
广西,来宾,2019,4523,--,,,,,,
广西,来宾,2020,4567,0.42%↓,,,,,,
广西,来宾,2021,4540,0.07%↓,,,,,,
广西,来宾,2022,4527,0.03%↓,,,,,,
广西,来宾,2023,4394,0.16%↓,,,,,,
广西,来宾,2024,4402,0.25%↑,,,,,,
广西,柳州,2015,6423,2%↑,,,,,,
广西,柳州,2016,6703,0.21%↓,,,,,,
广西,柳州,2017,7667,0.01%↑,,,,,,
广西,柳州,2018,8683,0.19%↑,,,,,,
广西,柳州,2019,9247,0.65%↑,,,,,,
广西,柳州,2020,8943,0.38%↓,,,,,,
广西,柳州,2021,8500,1.07%↓,,,,,,
广西,柳州,2022,7943,0.78%↓,,,,,,
广西,柳州,2023,7034,0.9%↓,,,,,,
广西,柳州,2024,7132,1.76%↑,,,,,,
广西,南宁,2015,6748,1%↑,,,,,,
广西,南宁,2016,7262,0.81%↑,,,,,,
广西,南宁,2017,9515,0.01%↓,,,,,,
广西,南宁,2018,10538,0.72%↓,,,,,,
广西,南宁,2019,10979,0.45%↓,,,,,,
广西,南宁,2020,11049,0.02%↑,,,,,,
广西,南宁,2021,10997,0.55%↓,,,,,,
广西,南宁,2022,10537,1.81%↓,,,,,,
广西,南宁,2023,9841,0.45%↓,,,,,,
广西,南宁,2024,9792,0.11%↑,,,,,,
广西,钦州,2015,3286,1%↓,,,,,,
广西,钦州,2016,3384,0.61%↑,,,,,,
广西,钦州,2017,3559,0.01%↑,,,,,,
广西,钦州,2018,4185,1.26%↑,,,,,,
广西,钦州,2019,4557,0.18%↑,,,,,,
广西,钦州,2020,4498,0.24%↓,,,,,,
广西,钦州,2021,4503,--,,,,,,
广西,钦州,2022,4513,0.17%↑,,,,,,
广西,钦州,2023,4482,1.53%↑,,,,,,
广西,钦州,2024,4564,0.25%↑,,,,,,
广西,梧州,2015,3662,3%↓,,,,,,
广西,梧州,2016,3703,0.67%↑,,,,,,
广西,梧州,2017,4136,0.07%↑,,,,,,
广西,梧州,2018,4878,0.75%↑,,,,,,
广西,梧州,2019,5445,0.5%↑,,,,,,
广西,梧州,2020,5127,1.84%↓,,,,,,
广西,梧州,2021,4990,1.67%↓,,,,,,
广西,梧州,2022,5003,1.41%↑,,,,,,
广西,梧州,2023,4648,0.07%↓,,,,,,
广西,梧州,2024,4591,0.38%↑,,,,,,
广西,玉林,2015,4267,--,,,,,,
广西,玉林,2016,4314,1.11%↓,,,,,,
广西,玉林,2017,4878,0.02%↓,,,,,,
广西,玉林,2018,5645,1.16%↑,,,,,,
广西,玉林,2019,5689,0.78%↓,,,,,,
广西,玉林,2020,5486,0.74%↓,,,,,,
广西,玉林,2021,5197,1.91%↓,,,,,,
广西,玉林,2022,5100,0.45%↑,,,,,,
广西,玉林,2023,4950,0.43%↓,,,,,,
广西,玉林,2024,4941,0.35%↓,,,,,,
贵州,安顺,2019,5260,0.08%↓,,,,,,
贵州,安顺,2020,5058,1.13%↓,,,,,,
贵州,安顺,2021,4956,0.12%↑,,,,,,
贵州,安顺,2022,4984,0.1%↑,,,,,,
贵州,安顺,2023,4386,1.27%↓,,,,,,
贵州,安顺,2024,4510,2.06%↑,,,,,,
贵州,毕节,2019,4748,0.16%↑,,,,,,
贵州,毕节,2020,4671,0.32%↑,,,,,,
贵州,毕节,2021,4580,0.46%↓,,,,,,
贵州,毕节,2022,4658,0.45%↓,,,,,,
贵州,毕节,2023,4430,1.89%↓,,,,,,
贵州,毕节,2024,4517,0.52%↑,,,,,,
贵州,贵阳,2015,5805,3%↓,,,,,,
贵州,贵阳,2016,6175,0.9%↓,,,,,,
贵州,贵阳,2017,7484,0.03%↑,,,,,,
贵州,贵阳,2018,9743,2.21%↓,,,,,,
贵州,贵阳,2019,9172,0.44%↓,,,,,,
贵州,贵阳,2020,8774,0.21%↓,,,,,,
贵州,贵阳,2021,8547,0.89%↓,,,,,,
贵州,贵阳,2022,8297,0.33%↑,,,,,,
贵州,贵阳,2023,7731,0.55%↓,,,,,,
贵州,贵阳,2024,7722,0.42%↑,,,,,,
贵州,六盘水,2015,4243,1%↓,,,,,,
贵州,六盘水,2016,3807,--,,,,,,
贵州,六盘水,2018,4424,1.63%↑,,,,,,
贵州,六盘水,2019,5042,--,,,,,,
贵州,六盘水,2020,4997,0.03%↓,,,,,,
贵州,六盘水,2021,4905,0.28%↑,,,,,,
贵州,六盘水,2022,4893,0.35%↑,,,,,,
贵州,六盘水,2023,4704,0.26%↓,,,,,,
贵州,六盘水,2024,4590,0.06%↑,,,,,,
贵州,黔东南,2019,5867,0.3%↓,,,,,,
贵州,黔东南,2020,5834,0.14%↓,,,,,,
贵州,黔东南,2021,5740,0.27%↓,,,,,,
贵州,黔东南,2022,5747,0.53%↑,,,,,,
贵州,黔东南,2023,4992,2.02%↓,,,,,,
贵州,黔东南,2024,4880,1.17%↓,,,,,,
贵州,黔南,2019,4953,0.08%↑,,,,,,
贵州,黔南,2020,4844,0.56%↑,,,,,,
贵州,黔南,2021,4572,0.87%↓,,,,,,
贵州,黔南,2022,4582,0.39%↑,,,,,,
贵州,黔南,2023,4153,0.79%↑,,,,,,
贵州,黔南,2024,4199,1.01%↑,,,,,,
贵州,黔西南,2019,4267,0.29%↑,,,,,,
贵州,黔西南,2020,4205,0.68%↑,,,,,,
贵州,黔西南,2021,4210,0.04%↑,,,,,,
贵州,黔西南,2022,4180,0.39%↓,,,,,,
贵州,黔西南,2023,4196,0.33%↑,,,,,,
贵州,黔西南,2024,4288,0.64%↑,,,,,,
贵州,铜仁,2019,5164,0.2%↓,,,,,,
贵州,铜仁,2020,5194,0.23%↓,,,,,,
贵州,铜仁,2021,5092,0.45%↓,,,,,,
贵州,铜仁,2022,5051,0.33%↑,,,,,,
贵州,铜仁,2023,4967,0.78%↓,,,,,,
贵州,铜仁,2024,4897,0.22%↑,,,,,,
贵州,遵义,2016,4569,0.09%↑,,,,,,
贵州,遵义,2017,5555,0.01%↑,,,,,,
贵州,遵义,2018,6274,0.39%↓,,,,,,
贵州,遵义,2019,6285,0.74%↓,,,,,,
贵州,遵义,2020,5900,1.48%↓,,,,,,
贵州,遵义,2021,5737,0.27%↓,,,,,,
贵州,遵义,2022,5717,0.63%↓,,,,,,
贵州,遵义,2023,5427,0.15%↑,,,,,,
贵州,遵义,2024,5397,0.27%↑,,,,,,
河北,保定,2015,7117,1%↑,,,,,,
河北,保定,2016,10151,4.62%↑,,,,,,
河北,保定,2017,12983,0.06%↓,,,,,,
河北,保定,2018,11365,1.83%↓,,,,,,
河北,保定,2019,10756,1.67%↓,,,,,,
河北,保定,2020,9967,0.38%↓,,,,,,
河北,保定,2021,9453,0.95%↓,,,,,,
河北,保定,2022,9025,0.26%↑,,,,,,
河北,保定,2023,8462,0.48%↓,,,,,,
河北,保定,2024,8329,0.35%↓,,,,,,
河北,沧州,2015,5766,1%↓,,,,,,
河北,沧州,2016,6834,2.32%↑,,,,,,
河北,沧州,2017,10144,0.19%↓,,,,,,
河北,沧州,2018,8916,0.11%↑,,,,,,
河北,沧州,2019,10518,2.19%↓,,,,,,
河北,沧州,2020,10561,0.16%↓,,,,,,
河北,沧州,2021,10228,1.35%↑,,,,,,
河北,沧州,2022,11653,3.45%↑,,,,,,
河北,沧州,2023,8930,0.55%↓,,,,,,
河北,沧州,2024,8903,0.47%↑,,,,,,
河北,承德,2015,6061,1%↑,,,,,,
河北,承德,2016,6695,1.36%↑,,,,,,
河北,承德,2017,9258,0.02%↑,,,,,,
河北,承德,2018,9308,1.2%↓,,,,,,
河北,承德,2019,10565,2.84%↑,,,,,,
河北,承德,2020,10469,0.47%↓,,,,,,
河北,承德,2021,8841,1.25%↓,,,,,,
河北,承德,2022,8678,1.39%↑,,,,,,
河北,承德,2023,8287,0.44%↓,,,,,,
河北,承德,2024,8329,0.45%↑,,,,,,
河北,定州,2017,6667,0.07%↑,,,,,,
河北,定州,2018,7162,0.79%↓,,,,,,
河北,定州,2019,7253,0.36%↑,,,,,,
河北,定州,2020,7261,0.19%↑,,,,,,
河北,定州,2021,7083,0.48%↓,,,,,,
河北,定州,2022,7038,0.04%↓,,,,,,
河北,定州,2023,6722,0.05%↑,,,,,,
河北,定州,2024,6559,0.54%↓,,,,,,
河北,邯郸,2015,6256,5%↑,,,,,,
河北,邯郸,2016,6521,1.18%↑,,,,,,
河北,邯郸,2017,8403,0.02%↓,,,,,,
河北,邯郸,2018,9734,0.57%↓,,,,,,
河北,邯郸,2019,10000,0.02%↓,,,,,,
河北,邯郸,2020,10175,0.14%↑,,,,,,
河北,邯郸,2021,9919,0.81%↓,,,,,,
河北,邯郸,2022,10387,0.9%↑,,,,,,
河北,邯郸,2023,9622,0.53%↓,,,,,,
河北,邯郸,2024,9540,0.15%↓,,,,,,
河北,衡水,2015,4873,1%↓,,,,,,
河北,衡水,2016,5045,0.94%↑,,,,,,
河北,衡水,2017,7969,0.04%↓,,,,,,
河北,衡水,2018,7812,0.09%↑,,,,,,
河北,衡水,2019,7863,0.68%↓,,,,,,
河北,衡水,2020,7577,1.54%↓,,,,,,
河北,衡水,2021,7697,0.12%↓,,,,,,
河北,衡水,2022,7552,0.12%↑,,,,,,
河北,衡水,2023,6684,1.82%↓,,,,,,
河北,衡水,2024,6596,0.03%↑,,,,,,
河北,廊坊,2015,7043,2%↑,,,,,,
河北,廊坊,2016,16175,1.58%↑,,,,,,
河北,廊坊,2017,15564,0.06%↓,,,,,,
河北,廊坊,2018,13981,1.62%↓,,,,,,
河北,廊坊,2019,13863,1.22%↓,,,,,,
河北,廊坊,2020,12879,2%↓,,,,,,
河北,廊坊,2021,11433,2.04%↓,,,,,,
河北,廊坊,2022,10974,1.11%↑,,,,,,
河北,廊坊,2023,9890,0.97%↓,,,,,,
河北,廊坊,2024,9867,0.95%↑,,,,,,
河北,秦皇岛,2015,5814,1%↑,,,,,,
河北,秦皇岛,2016,6497,0.48%↑,,,,,,
河北,秦皇岛,2017,8006,0.01%↓,,,,,,
河北,秦皇岛,2018,9258,0.21%↓,,,,,,
河北,秦皇岛,2019,11475,1.09%↑,,,,,,
河北,秦皇岛,2020,12002,0.78%↓,,,,,,
河北,秦皇岛,2021,11331,1.29%↓,,,,,,
河北,秦皇岛,2022,10468,0.6%↓,,,,,,
河北,秦皇岛,2023,9439,0.84%↓,,,,,,
河北,秦皇岛,2024,9262,0.75%↓,,,,,,
河北,石家庄,2015,8986,--,,,,,,
河北,石家庄,2016,14878,8.24%↑,,,,,,
河北,石家庄,2017,16979,0.03%↓,,,,,,
河北,石家庄,2018,15596,1.62%↓,,,,,,
河北,石家庄,2019,15203,1.11%↓,,,,,,
河北,石家庄,2020,14934,0.03%↓,,,,,,
河北,石家庄,2021,13344,1.62%↓,,,,,,
河北,石家庄,2022,13525,1.63%↑,,,,,,
河北,石家庄,2023,12615,1.67%↓,,,,,,
河北,石家庄,2024,12561,0.25%↑,,,,,,
河北,唐山,2015,6120,--,,,,,,
河北,唐山,2016,6245,0.04%↑,,,,,,
河北,唐山,2017,7343,0.03%↓,,,,,,
河北,唐山,2018,8229,0.32%↓,,,,,,
河北,唐山,2019,9572,0.24%↓,,,,,,
河北,唐山,2020,10284,3.92%↓,,,,,,
河北,唐山,2021,9504,1.26%↓,,,,,,
河北,唐山,2022,9615,0.78%↑,,,,,,
河北,唐山,2023,8471,0.11%↑,,,,,,
河北,唐山,2024,8472,0.15%↑,,,,,,
河北,邢台,2015,5600,--,,,,,,
河北,邢台,2016,5476,--,,,,,,
河北,邢台,2017,7706,0.03%↓,,,,,,
河北,邢台,2018,8165,0.46%↓,,,,,,
河北,邢台,2019,8333,0.54%↓,,,,,,
河北,邢台,2020,8025,0.95%↓,,,,,,
河北,邢台,2021,7788,0.98%↓,,,,,,
河北,邢台,2022,7853,2.37%↑,,,,,,
河北,邢台,2023,7120,1.07%↓,,,,,,
河北,邢台,2024,7167,0.53%↑,,,,,,
河北,张北,2019,5909,0.12%↑,,,,,,
河北,张北,2020,5895,0.24%↓,,,,,,
河北,张北,2021,5882,0.34%↓,,,,,,
河北,张北,2022,5882,--,,,,,,
河北,张北,2023,5592,1.21%↓,,,,,,
河北,张北,2024,5578,--,,,,,,
河北,张家口,2015,6372,--,,,,,,
河北,张家口,2016,8843,1.6%↑,,,,,,
河北,张家口,2017,10456,0.08%↓,,,,,,
河北,张家口,2018,9882,1.32%↓,,,,,,
河北,张家口,2019,9222,2.84%↓,,,,,,
河北,张家口,2020,8559,0.92%↓,,,,,,
河北,张家口,2021,7437,1.79%↓,,,,,,
河北,张家口,2022,7450,0.2%↑,,,,,,
河北,张家口,2023,6698,0.58%↓,,,,,,
河北,张家口,2024,6692,0.35%↑,,,,,,
河北,正定,2019,13676,0.01%↑,,,,,,
河北,正定,2020,13676,--,,,,,,
河北,正定,2021,13676,--,,,,,,
河北,正定,2022,13636,--,,,,,,
河北,正定,2023,12518,2.12%↓,,,,,,
河北,正定,2024,12403,0.36%↓,,,,,,
河南,安阳,2015,3894,2%↑,,,,,,
河南,安阳,2016,3870,0.47%↑,,,,,,
河南,安阳,2017,5012,0.05%↑,,,,,,
河南,安阳,2018,5689,0.34%↓,,,,,,
河南,安阳,2019,6149,0.71%↑,,,,,,
河南,安阳,2020,6288,1.92%↓,,,,,,
河南,安阳,2021,6473,0.22%↑,,,,,,
河南,安阳,2022,6562,0.3%↓,,,,,,
河南,安阳,2023,6092,0.89%↓,,,,,,
河南,安阳,2024,6008,0.53%↓,,,,,,
河南,鹤壁,2015,4797,--,,,,,,
河南,鹤壁,2016,4565,0.96%↑,,,,,,
河南,鹤壁,2017,5618,0.04%↑,,,,,,
河南,鹤壁,2018,6678,0.37%↓,,,,,,
河南,鹤壁,2019,7034,1.13%↑,,,,,,
河南,鹤壁,2020,7353,0.1%↓,,,,,,
河南,鹤壁,2021,7573,0.21%↑,,,,,,
河南,鹤壁,2022,7604,0.78%↓,,,,,,
河南,鹤壁,2023,6931,1.53%↓,,,,,,
河南,鹤壁,2024,6344,6.99%↓,,,,,,
河南,济源,2015,3305,4%↑,,,,,,
河南,济源,2016,3333,0.09%↑,,,,,,
河南,济源,2017,5324,0.14%↑,,,,,,
河南,济源,2018,6107,3.1%↓,,,,,,
河南,济源,2019,6341,0.52%↓,,,,,,
河南,济源,2020,6220,1.44%↓,,,,,,
河南,济源,2021,6275,0.38%↓,,,,,,
河南,济源,2022,6334,0.19%↓,,,,,,
河南,济源,2023,7195,0.88%↑,,,,,,
河南,济源,2024,7410,0.41%↑,,,,,,
河南,焦作,2015,4329,3%↓,,,,,,
河南,焦作,2016,4118,0.59%↑,,,,,,
河南,焦作,2017,4921,0.16%↑,,,,,,
河南,焦作,2018,5098,2.77%↓,,,,,,
河南,焦作,2019,5469,3%↓,,,,,,
河南,焦作,2020,5491,0.34%↓,,,,,,
河南,焦作,2021,5647,1.69%↑,,,,,,
河南,焦作,2022,6043,3.2%↑,,,,,,
河南,焦作,2023,5444,0.32%↓,,,,,,
河南,焦作,2024,5640,2.94%↑,,,,,,
河南,开封,2015,4542,1%↓,,,,,,
河南,开封,2016,4496,0.75%↑,,,,,,
河南,开封,2017,6142,0.04%↑,,,,,,
河南,开封,2018,6687,0.62%↓,,,,,,
河南,开封,2019,7590,0.23%↓,,,,,,
河南,开封,2020,6999,0.95%↓,,,,,,
河南,开封,2021,6782,0.51%↓,,,,,,
河南,开封,2022,6653,0.24%↓,,,,,,
河南,开封,2023,5869,2.07%↓,,,,,,
河南,开封,2024,5807,0.76%↑,,,,,,
河南,洛阳,2015,4851,4%↓,,,,,,
河南,洛阳,2016,4996,0.62%↑,,,,,,
河南,洛阳,2017,6548,0.05%↑,,,,,,
河南,洛阳,2018,7735,0.9%↑,,,,,,
河南,洛阳,2019,8628,0.41%↑,,,,,,
河南,洛阳,2020,8865,1.37%↓,,,,,,
河南,洛阳,2021,8994,0.6%↓,,,,,,
河南,洛阳,2022,8985,4.01%↑,,,,,,
河南,洛阳,2023,7026,2.02%↓,,,,,,
河南,洛阳,2024,6845,0.03%↓,,,,,,
河南,漯河,2015,3418,--,,,,,,
河南,漯河,2016,3890,0.01%↑,,,,,,
河南,漯河,2017,4373,0.04%↑,,,,,,
河南,漯河,2018,5341,0.16%↑,,,,,,
河南,漯河,2019,5757,1.66%↓,,,,,,
河南,漯河,2020,5916,0.83%↑,,,,,,
河南,漯河,2021,5832,0.22%↓,,,,,,
河南,漯河,2022,5931,0.11%↓,,,,,,
河南,漯河,2023,5278,1.09%↓,,,,,,
河南,漯河,2024,5278,0.58%↑,,,,,,
河南,南阳,2015,4468,--,,,,,,
河南,南阳,2016,4601,0.18%↑,,,,,,
河南,南阳,2017,5277,0.01%↑,,,,,,
河南,南阳,2018,6999,0.21%↑,,,,,,
河南,南阳,2019,8460,0.21%↓,,,,,,
河南,南阳,2020,8733,0.24%↓,,,,,,
河南,南阳,2021,8253,2.17%↓,,,,,,
河南,南阳,2022,7951,0.88%↓,,,,,,
河南,南阳,2023,6796,1.75%↓,,,,,,
河南,南阳,2024,6757,0.73%↑,,,,,,
河南,平顶山,2015,4917,--,,,,,,
河南,平顶山,2016,4907,0.23%↑,,,,,,
河南,平顶山,2017,5197,0.01%↑,,,,,,
河南,平顶山,2018,5368,0.47%↓,,,,,,
河南,平顶山,2019,6203,0.87%↓,,,,,,
河南,平顶山,2020,6035,1.7%↓,,,,,,
河南,平顶山,2021,6117,1.11%↓,,,,,,
河南,平顶山,2022,6136,0.56%↑,,,,,,
河南,平顶山,2023,5612,0.17%↑,,,,,,
河南,平顶山,2024,5648,1.13%↑,,,,,,
河南,濮阳,2015,5508,--,,,,,,
河南,濮阳,2016,5444,0.47%↓,,,,,,
河南,濮阳,2017,6195,0.01%↑,,,,,,
河南,濮阳,2018,6933,0.44%↓,,,,,,
河南,濮阳,2019,7635,0.05%↑,,,,,,
河南,濮阳,2020,7774,1.77%↓,,,,,,
河南,濮阳,2021,8101,0.57%↓,,,,,,
河南,濮阳,2022,8015,1.41%↓,,,,,,
河南,濮阳,2023,7383,0.64%↓,,,,,,
河南,濮阳,2024,7200,0.48%↓,,,,,,
河南,三门峡,2016,3695,--,,,,,,
河南,三门峡,2017,4824,0.03%↑,,,,,,
河南,三门峡,2018,5100,0.16%↑,,,,,,
河南,三门峡,2019,5011,0.58%↓,,,,,,
河南,三门峡,2020,5659,1.58%↑,,,,,,
河南,三门峡,2021,5726,2.05%↑,,,,,,
河南,三门峡,2022,5801,0.87%↓,,,,,,
河南,三门峡,2023,5521,0.34%↑,,,,,,
河南,三门峡,2024,5208,1.78%↓,,,,,,
河南,商丘,2015,3975,--,,,,,,
河南,商丘,2016,3874,0.25%↑,,,,,,
河南,商丘,2017,5033,0.06%↑,,,,,,
河南,商丘,2018,5646,1.24%↓,,,,,,
河南,商丘,2019,5658,0.11%↑,,,,,,
河南,商丘,2020,5767,0.25%↓,,,,,,
河南,商丘,2021,5940,0.14%↑,,,,,,
河南,商丘,2022,6342,1.24%↑,,,,,,
河南,商丘,2023,5601,1.06%↓,,,,,,
河南,商丘,2024,5561,0.38%↑,,,,,,
河南,新乡,2015,4391,6%↓,,,,,,
河南,新乡,2016,4979,1.03%↓,,,,,,
河南,新乡,2017,6052,0.02%↓,,,,,,
河南,新乡,2018,6668,0.25%↓,,,,,,
河南,新乡,2019,7009,0.05%↓,,,,,,
河南,新乡,2020,6946,0.33%↓,,,,,,
河南,新乡,2021,6854,0.06%↓,,,,,,
河南,新乡,2022,7114,0.18%↑,,,,,,
河南,新乡,2023,6480,1.18%↓,,,,,,
河南,新乡,2024,6534,0.73%↑,,,,,,
河南,信阳,2016,5080,0.1%↓,,,,,,
河南,信阳,2017,6304,0.01%↑,,,,,,
河南,信阳,2018,6379,0.08%↓,,,,,,
河南,信阳,2019,6510,0.06%↑,,,,,,
河南,信阳,2020,6561,0.91%↓,,,,,,
河南,信阳,2021,6629,1.04%↓,,,,,,
河南,信阳,2022,6470,2.15%↓,,,,,,
河南,信阳,2023,5927,2.42%↓,,,,,,
河南,信阳,2024,5865,0.14%↓,,,,,,
河南,许昌,2015,5091,12%↑,,,,,,
河南,许昌,2016,5348,0.11%↓,,,,,,
河南,许昌,2017,6459,0.08%↓,,,,,,
河南,许昌,2018,6370,1.49%↓,,,,,,
河南,许昌,2019,6693,0.62%↓,,,,,,
河南,许昌,2020,6163,2.1%↓,,,,,,
河南,许昌,2021,5879,0.4%↑,,,,,,
河南,许昌,2022,6382,3.14%↑,,,,,,
河南,许昌,2023,5429,0.39%↓,,,,,,
河南,许昌,2024,5374,0.04%↓,,,,,,
河南,鄢陵,2019,5000,--,,,,,,
河南,鄢陵,2020,4905,0.27%↓,,,,,,
河南,鄢陵,2021,4791,--,,,,,,
河南,鄢陵,2022,4721,1.45%↓,,,,,,
河南,鄢陵,2023,4705,--,,,,,,
河南,鄢陵,2024,4666,0.04%↓,,,,,,
河南,禹州,2019,4767,0.15%↑,,,,,,
